Drug_ID	Target_ID	Y
AAGFKZWKWAMJNP-UHFFFAOYSA-N	P0DMS8	1
AAGFKZWKWAMJNP-UHFFFAOYSA-N	P28190	0
AAGFKZWKWAMJNP-UHFFFAOYSA-N	P29274	0
AAGKZYYLJCIWKQ-VMPREFPWSA-N	P35372	1
AAGKZYYLJCIWKQ-VMPREFPWSA-N	P41143	1
AAGKZYYLJCIWKQ-VMPREFPWSA-N	P41145	0
AAGZRVOOYSMCNM-UHFFFAOYSA-N	P30874	0
AAGZRVOOYSMCNM-UHFFFAOYSA-N	P35346	1
AAJVCKWMBZMPTO-UHFFFAOYSA-N	P14842	1
AAJVCKWMBZMPTO-UHFFFAOYSA-N	P43140	0
AAJVCKWMBZMPTO-UHFFFAOYSA-N	P61169	0
AAKCZJIYTMOXJF-OFSOJUDTSA-N	P24530	1
AAKCZJIYTMOXJF-OFSOJUDTSA-N	P25101	0
AAKNNWSCDBHEJI-UHFFFAOYSA-N	P19327	1
AAKNNWSCDBHEJI-UHFFFAOYSA-N	P61169	0
AAKPJTRCQRGFJX-UHFFFAOYSA-N	P21554	0
AAKPJTRCQRGFJX-UHFFFAOYSA-N	P34972	1
AALJXEDSLAMLQM-HYBUGGRVSA-N	P21453	1
AALJXEDSLAMLQM-HYBUGGRVSA-N	Q99500	0
AAMNZEOCWRFJIP-SMDWPYIJSA-N	P25929	0
AAMNZEOCWRFJIP-SMDWPYIJSA-N	P49146	1
AAMNZEOCWRFJIP-SMDWPYIJSA-N	P50391	0
AANUKDYJZPKTKN-HRKXUHDCSA-N	P0DMS8	1
AANUKDYJZPKTKN-HRKXUHDCSA-N	P29274	0
AANVRTGJCGRJSR-UHFFFAOYSA-N	P08913	0
AANVRTGJCGRJSR-UHFFFAOYSA-N	P18089	0
AANVRTGJCGRJSR-UHFFFAOYSA-N	P18825	1
AAOIVEBXZWDLKP-PMACEKPBSA-N	O43613	0
AAOIVEBXZWDLKP-PMACEKPBSA-N	O43614	1
AAONJNLMLWRZJE-UHFFFAOYSA-N	P14416	0
AAONJNLMLWRZJE-UHFFFAOYSA-N	P35462	1
AAOQXJXMHFUVEW-PSDCGHEKSA-N	P25103	0
AAOQXJXMHFUVEW-PSDCGHEKSA-N	P29371	1
AAOVKJBEBIDNHE-UHFFFAOYSA-N	P0DMS8	1
AAOVKJBEBIDNHE-UHFFFAOYSA-N	P35348	0
AAOVKJBEBIDNHE-UHFFFAOYSA-N	Q01717	0
AAOVKJBEBIDNHE-UHFFFAOYSA-N	Q9Z0U4	1
AAPSBWWMCXOCQQ-UHFFFAOYSA-N	P30518	0
AAPSBWWMCXOCQQ-UHFFFAOYSA-N	P37288	1
AAPXNHMQKBDDJN-AVRDEDQJSA-N	P14416	0
AAPXNHMQKBDDJN-AVRDEDQJSA-N	P35462	1
AAPXNHMQKBDDJN-PGRDOPGGSA-N	P11229	0
AAPXNHMQKBDDJN-PGRDOPGGSA-N	P14416	0
AAPXNHMQKBDDJN-PGRDOPGGSA-N	P20309	0
AAPXNHMQKBDDJN-PGRDOPGGSA-N	P35462	1
AAPXNHMQKBDDJN-XMSQKQJNSA-N	P14416	0
AAPXNHMQKBDDJN-XMSQKQJNSA-N	P35462	1
AARLLBMOTZFNIP-OXQOHEQNSA-N	P21453	1
AARLLBMOTZFNIP-OXQOHEQNSA-N	Q99500	0
AARQDCQBCMFBPF-PMACEKPBSA-N	P21554	1
AARQDCQBCMFBPF-PMACEKPBSA-N	P34972	0
AARWRAFDYZSYPD-UHFFFAOYSA-N	P14416	1
AARWRAFDYZSYPD-UHFFFAOYSA-N	P21917	0
AARWRAFDYZSYPD-UHFFFAOYSA-N	P28223	1
AARWRAFDYZSYPD-UHFFFAOYSA-N	P35462	1
AARZBDDJPFYPSG-UHFFFAOYSA-N	P0DMS8	0
AARZBDDJPFYPSG-UHFFFAOYSA-N	P25099	1
AARZBDDJPFYPSG-UHFFFAOYSA-N	P29275	1
AARZBDDJPFYPSG-UHFFFAOYSA-N	P30542	0
AARZBDDJPFYPSG-UHFFFAOYSA-N	P30543	0
AATQZRYKNHNEDJ-UHFFFAOYSA-N	P14842	1
AATQZRYKNHNEDJ-UHFFFAOYSA-N	P19327	0
AATQZRYKNHNEDJ-UHFFFAOYSA-N	P61169	1
AAXFHBRSEVMRCW-ORYMTKCHSA-N	P32300	0
AAXFHBRSEVMRCW-ORYMTKCHSA-N	P33533	0
AAXFHBRSEVMRCW-ORYMTKCHSA-N	P33535	1
AAYAXEYKWMOSAT-NTCAYCPXSA-N	P0DMS8	0
AAYAXEYKWMOSAT-NTCAYCPXSA-N	P25099	1
AAYAXEYKWMOSAT-NTCAYCPXSA-N	P29275	1
AAYAXEYKWMOSAT-NTCAYCPXSA-N	P30543	0
AAYAXEYKWMOSAT-UHFFFAOYSA-N	P0DMS8	0
AAYAXEYKWMOSAT-UHFFFAOYSA-N	P25099	1
AAYAXEYKWMOSAT-UHFFFAOYSA-N	P29275	1
AAYAXEYKWMOSAT-UHFFFAOYSA-N	P30543	0
AAYGPIMYNPLWPB-JRFVFWCSSA-N	Q9QYN8	0
AAYGPIMYNPLWPB-JRFVFWCSSA-N	Q9Y5N1	1
AAYKUORGNKPQCI-UHFFFAOYSA-N	P32239	0
AAYKUORGNKPQCI-UHFFFAOYSA-N	P56481	1
AAYMNPGQEZYHNE-UHFFFAOYSA-N	P14416	1
AAYMNPGQEZYHNE-UHFFFAOYSA-N	P21917	1
AAYMNPGQEZYHNE-UHFFFAOYSA-N	P35462	1
AAYMNPGQEZYHNE-UHFFFAOYSA-N	P50129	0
AAYMNPGQEZYHNE-UHFFFAOYSA-N	P50130	0
AAYUCLWERQEEON-UHFFFAOYSA-N	P21554	0
AAYUCLWERQEEON-UHFFFAOYSA-N	P34972	1
AAZAYUHSKXGNJY-UHFFFAOYSA-N	P35348	0
AAZAYUHSKXGNJY-UHFFFAOYSA-N	P35368	1
AAZPJOPTMNOCRC-UHFFFAOYSA-N	P21554	1
AAZPJOPTMNOCRC-UHFFFAOYSA-N	P34972	0
AAZRDMWGEYBJDY-UHFFFAOYSA-N	P30411	0
AAZRDMWGEYBJDY-UHFFFAOYSA-N	P46663	1
ABAHFXBQXJPKNX-UHFFFAOYSA-N	P29274	1
ABAHFXBQXJPKNX-UHFFFAOYSA-N	P29275	0
ABAHFXBQXJPKNX-UHFFFAOYSA-N	P30542	1
ABAHQIMHTWGRPU-IPEGHREBSA-N	P32300	1
ABAHQIMHTWGRPU-IPEGHREBSA-N	P33533	1
ABAHQIMHTWGRPU-IPEGHREBSA-N	P41143	0
ABBBAYMZEUIFIL-HKBQPEDESA-N	P35372	0
ABBBAYMZEUIFIL-HKBQPEDESA-N	P41145	0
ABBBAYMZEUIFIL-HKBQPEDESA-N	P41146	1
ABBJGBXBPXOWOG-UHFFFAOYSA-N	P21554	0
ABBJGBXBPXOWOG-UHFFFAOYSA-N	P34972	1
ABBJWXXPWGRDKF-UHFFFAOYSA-N	P21554	1
ABBJWXXPWGRDKF-UHFFFAOYSA-N	P34972	0
ABBSYOBLSNKXQO-UHFFFAOYSA-N	P35372	0
ABBSYOBLSNKXQO-UHFFFAOYSA-N	P41143	1
ABCIREFWVKRPQQ-UHFFFAOYSA-N	P08908	0
ABCIREFWVKRPQQ-UHFFFAOYSA-N	P08909	0
ABCIREFWVKRPQQ-UHFFFAOYSA-N	P14416	0
ABCIREFWVKRPQQ-UHFFFAOYSA-N	P28223	0
ABCIREFWVKRPQQ-UHFFFAOYSA-N	P30729	0
ABCIREFWVKRPQQ-UHFFFAOYSA-N	P34969	1
ABCIREFWVKRPQQ-UHFFFAOYSA-N	P35367	0
ABCIREFWVKRPQQ-UHFFFAOYSA-N	P35462	0
ABCIREFWVKRPQQ-UHFFFAOYSA-N	P41595	0
ABEZUHIZVKNNOT-HXUWFJFHSA-N	P25021	0
ABEZUHIZVKNNOT-HXUWFJFHSA-N	P35367	0
ABEZUHIZVKNNOT-HXUWFJFHSA-N	Q9QYN8	1
ABFFVPNTRSSMPE-HHHXNRCGSA-N	P14416	0
ABFFVPNTRSSMPE-HHHXNRCGSA-N	Q969V1	1
ABFMBAYHWWNULS-UHFFFAOYSA-N	P29274	1
ABFMBAYHWWNULS-UHFFFAOYSA-N	P29275	0
ABFMBAYHWWNULS-UHFFFAOYSA-N	P30542	1
ABGDCDADBTYYKP-VQCQRNETSA-N	P49684	1
ABGDCDADBTYYKP-VQCQRNETSA-N	Q9UKP6	0
ABHDIPZJDPNXNR-QUMQEAAQSA-N	P34995	0
ABHDIPZJDPNXNR-QUMQEAAQSA-N	P35408	0
ABHDIPZJDPNXNR-QUMQEAAQSA-N	P43115	1
ABHDIPZJDPNXNR-QUMQEAAQSA-N	P43116	0
ABHGGPDVTGXLFS-UHFFFAOYSA-N	P35372	0
ABHGGPDVTGXLFS-UHFFFAOYSA-N	P41143	1
ABJHMASUFPDZRW-DEOSSOPVSA-N	P30551	0
ABJHMASUFPDZRW-DEOSSOPVSA-N	P30553	1
ABJKTLXATIQLEH-UHFFFAOYSA-N	P25100	0
ABJKTLXATIQLEH-UHFFFAOYSA-N	P35348	1
ABJKTLXATIQLEH-UHFFFAOYSA-N	P35368	1
ABJRCTKEAAWJIC-VQIMIIECSA-N	O43613	0
ABJRCTKEAAWJIC-VQIMIIECSA-N	O43614	1
ABKFNWSCLGGDOH-UHFFFAOYSA-N	P28223	0
ABKFNWSCLGGDOH-UHFFFAOYSA-N	P28335	1
ABNHKWJQNLIOML-YILGNFQOSA-N	P35408	1
ABNHKWJQNLIOML-YILGNFQOSA-N	P43115	0
ABNHKWJQNLIOML-YILGNFQOSA-N	P43116	0
ABOGMJLHJDETEP-UGCAPWQASA-N	P0DMS8	1
ABOGMJLHJDETEP-UGCAPWQASA-N	P29274	0
ABOGMJLHJDETEP-UGCAPWQASA-N	P29275	0
ABOGMJLHJDETEP-UGCAPWQASA-N	P30542	1
ABOTXPKVARXPFD-UHFFFAOYSA-N	P29274	1
ABOTXPKVARXPFD-UHFFFAOYSA-N	P30542	0
ABOTXPKVARXPFD-UHFFFAOYSA-N	P30543	0
ABPMRHGOCCQDFC-UHFFFAOYSA-N	P21917	1
ABPMRHGOCCQDFC-UHFFFAOYSA-N	P35462	0
ABPYSEKSOMBXAZ-SNYZSRNZSA-N	P07550	1
ABPYSEKSOMBXAZ-SNYZSRNZSA-N	P08588	0
ABPYSEKSOMBXAZ-SNYZSRNZSA-N	P13945	0
ABRFKTAFRQVZBR-UHFFFAOYSA-N	P14416	0
ABRFKTAFRQVZBR-UHFFFAOYSA-N	P35462	1
ABRGNAABLFFAJV-DNQXCXABSA-N	P20272	1
ABRGNAABLFFAJV-DNQXCXABSA-N	P47936	0
ABRIYQXZDGDZAN-UHFFFAOYSA-N	Q923Y8	0
ABRIYQXZDGDZAN-UHFFFAOYSA-N	Q923Y9	1
ABRLPETXYAPFLZ-UHFFFAOYSA-N	Q7TQN8	0
ABRLPETXYAPFLZ-UHFFFAOYSA-N	Q8TDV5	1
ABRWEOGOQNKJGM-UHFFFAOYSA-N	P48039	1
ABRWEOGOQNKJGM-UHFFFAOYSA-N	P49286	0
ABSJDIWFRVISBD-UHFFFAOYSA-N	P34976	1
ABSJDIWFRVISBD-UHFFFAOYSA-N	P35351	0
ABTJDYUDDLHWCG-UHFFFAOYSA-N	P24530	0
ABTJDYUDDLHWCG-UHFFFAOYSA-N	P25101	1
ABUBFFJYPALUKU-UHFFFAOYSA-N	P47746	0
ABUBFFJYPALUKU-UHFFFAOYSA-N	P47936	1
ABUUWIZJEMSEFP-KYOARWNFSA-N	P0DMS8	1
ABUUWIZJEMSEFP-KYOARWNFSA-N	P28647	1
ABUUWIZJEMSEFP-KYOARWNFSA-N	P29274	0
ABUUWIZJEMSEFP-KYOARWNFSA-N	P29275	0
ABUUWIZJEMSEFP-KYOARWNFSA-N	P30542	0
ABUUWIZJEMSEFP-KYOARWNFSA-N	Q60612	1
ABUUWIZJEMSEFP-KYOARWNFSA-N	Q60613	0
ABUUWIZJEMSEFP-KYOARWNFSA-N	Q61618	1
ABWPQNZPAOAQSG-UHFFFAOYSA-N	P08908	0
ABWPQNZPAOAQSG-UHFFFAOYSA-N	P28221	1
ABWPQNZPAOAQSG-UHFFFAOYSA-N	P28222	0
ABWPQNZPAOAQSG-UHFFFAOYSA-N	P28223	1
ABWPQNZPAOAQSG-UHFFFAOYSA-N	P28566	0
ABWPQNZPAOAQSG-UHFFFAOYSA-N	P35367	1
ABWWRNPKXWVLTE-FOKYBFFNSA-N	P28223	0
ABWWRNPKXWVLTE-FOKYBFFNSA-N	P28335	1
ABWWRNPKXWVLTE-FOKYBFFNSA-N	P41595	1
ABXKTKZCYNKQOZ-RPPDHWCPSA-N	P30872	0
ABXKTKZCYNKQOZ-RPPDHWCPSA-N	P30874	1
ABXKTKZCYNKQOZ-RPPDHWCPSA-N	P31391	0
ABXKTKZCYNKQOZ-RPPDHWCPSA-N	P32745	1
ABXKTKZCYNKQOZ-RPPDHWCPSA-N	P35346	1
ABYRMVVDOJFFOY-HXUWFJFHSA-N	P21554	1
ABYRMVVDOJFFOY-HXUWFJFHSA-N	P34972	0
ABYTWJURXOUFNH-UHFFFAOYSA-N	P32238	0
ABYTWJURXOUFNH-UHFFFAOYSA-N	P32239	1
ABZFRCOSCWYNAE-UHFFFAOYSA-N	P08908	0
ABZFRCOSCWYNAE-UHFFFAOYSA-N	P28221	1
ABZFRCOSCWYNAE-UHFFFAOYSA-N	P28222	1
ACAMYMCETUSQBH-KZCZEQIWSA-N	P28223	0
ACAMYMCETUSQBH-KZCZEQIWSA-N	P28335	1
ACAMYMCETUSQBH-KZCZEQIWSA-N	P41595	0
ACAPSPDLUQSDKO-RUZDIDTESA-N	P32245	0
ACAPSPDLUQSDKO-RUZDIDTESA-N	Q01726	1
ACBDSZDCBYPWDD-UHFFFAOYSA-N	Q13255	1
ACBDSZDCBYPWDD-UHFFFAOYSA-N	Q14833	0
ACCWAOKNDZJAQS-WBWMCNGVSA-N	P33533	1
ACCWAOKNDZJAQS-WBWMCNGVSA-N	P33535	0
ACCWAOKNDZJAQS-WBWMCNGVSA-N	P41143	1
ACCWAOKNDZJAQS-WBWMCNGVSA-N	P41144	0
ACDYFMOSSUKHJD-HSZRJFAPSA-N	P14416	1
ACDYFMOSSUKHJD-HSZRJFAPSA-N	P19020	1
ACDYFMOSSUKHJD-HSZRJFAPSA-N	P35462	1
ACDYFMOSSUKHJD-HSZRJFAPSA-N	P61169	0
ACEHBQPPDDGCGZ-UHFFFAOYSA-N	P08908	0
ACEHBQPPDDGCGZ-UHFFFAOYSA-N	P08909	0
ACEHBQPPDDGCGZ-UHFFFAOYSA-N	P28221	0
ACEHBQPPDDGCGZ-UHFFFAOYSA-N	P28566	0
ACEHBQPPDDGCGZ-UHFFFAOYSA-N	P32305	0
ACEHBQPPDDGCGZ-UHFFFAOYSA-N	P34969	0
ACEHBQPPDDGCGZ-UHFFFAOYSA-N	P47898	0
ACEHBQPPDDGCGZ-UHFFFAOYSA-N	P50406	1
ACEXCRCRDMOWEM-UHFFFAOYSA-N	P08908	0
ACEXCRCRDMOWEM-UHFFFAOYSA-N	P14842	0
ACEXCRCRDMOWEM-UHFFFAOYSA-N	P19327	1
ACEXCRCRDMOWEM-UHFFFAOYSA-N	P61169	1
ACFQRXVIUVXHIY-UHFFFAOYSA-N	P21731	0
ACFQRXVIUVXHIY-UHFFFAOYSA-N	P70263	0
ACFQRXVIUVXHIY-UHFFFAOYSA-N	Q13258	0
ACFQRXVIUVXHIY-UHFFFAOYSA-N	Q6XKD3	1
ACFQRXVIUVXHIY-UHFFFAOYSA-N	Q9Y5Y4	1
ACFQRXVIUVXHIY-UHFFFAOYSA-N	Q9Z2J6	1
ACGXKOXXJWJWLJ-WUUXXMBLSA-N	P35372	1
ACGXKOXXJWJWLJ-WUUXXMBLSA-N	P41143	0
ACHAGBFZZOHGJZ-UHFFFAOYSA-N	Q969V1	0
ACHAGBFZZOHGJZ-UHFFFAOYSA-N	Q99705	1
ACHAWAOSLYJAMP-LJQANCHMSA-N	P30968	1
ACHAWAOSLYJAMP-LJQANCHMSA-N	P30969	0
ACIAOTYWHUSEBZ-AWKYBWMHSA-N	P21731	0
ACIAOTYWHUSEBZ-AWKYBWMHSA-N	P43116	0
ACIAOTYWHUSEBZ-AWKYBWMHSA-N	Q13258	1
ACIAOTYWHUSEBZ-UHFFFAOYSA-N	P21731	0
ACIAOTYWHUSEBZ-UHFFFAOYSA-N	Q13258	1
ACIJKSZKWJVCPE-UHFFFAOYSA-N	P34976	1
ACIJKSZKWJVCPE-UHFFFAOYSA-N	P35351	0
ACIKAIVCJBOQAN-UHFFFAOYSA-N	P21728	1
ACIKAIVCJBOQAN-UHFFFAOYSA-N	P35462	0
ACJUSWFGYPTYCW-UHFFFAOYSA-N	P18901	0
ACJUSWFGYPTYCW-UHFFFAOYSA-N	P61169	1
ACKAOVNXPNOWIE-DENIHFKCSA-N	O43613	1
ACKAOVNXPNOWIE-DENIHFKCSA-N	O43614	0
ACKGCCXJFAZCFF-UHFFFAOYSA-N	P08908	0
ACKGCCXJFAZCFF-UHFFFAOYSA-N	P14416	0
ACKGCCXJFAZCFF-UHFFFAOYSA-N	P21728	0
ACKGCCXJFAZCFF-UHFFFAOYSA-N	P21917	0
ACKGCCXJFAZCFF-UHFFFAOYSA-N	P35462	1
ACKJXZGTUCARLB-KNQAVFIVSA-N	P14416	0
ACKJXZGTUCARLB-KNQAVFIVSA-N	P35462	1
ACKJXZGTUCARLB-UGKGYDQZSA-N	P14416	0
ACKJXZGTUCARLB-UGKGYDQZSA-N	P35462	1
ACLHVQFTZBYNIH-UHFFFAOYSA-N	P21554	0
ACLHVQFTZBYNIH-UHFFFAOYSA-N	P34972	1
ACMPQUAKYNONQE-FDFHNCONSA-N	P24530	0
ACMPQUAKYNONQE-FDFHNCONSA-N	P25101	1
ACNFYYUXBQGWQL-UHFFFAOYSA-N	P0DMS8	1
ACNFYYUXBQGWQL-UHFFFAOYSA-N	P29274	0
ACNFYYUXBQGWQL-UHFFFAOYSA-N	P29275	0
ACNFYYUXBQGWQL-UHFFFAOYSA-N	P30542	1
ACOGYNPKOWYKEV-UHFFFAOYSA-N	P08908	1
ACOGYNPKOWYKEV-UHFFFAOYSA-N	P19327	0
ACOIUSQYQHOULG-UHFFFAOYSA-N	P26684	1
ACOIUSQYQHOULG-UHFFFAOYSA-N	P35463	0
ACQBHJXEAYTHCY-UHFFFAOYSA-N	P08913	1
ACQBHJXEAYTHCY-UHFFFAOYSA-N	P18825	1
ACQBHJXEAYTHCY-UHFFFAOYSA-N	Q9H3N8	0
ACQBHJXEAYTHCY-UHFFFAOYSA-N	Q9JI35	1
ACQBHJXEAYTHCY-UHFFFAOYSA-N	Q9QYN8	1
ACQBHJXEAYTHCY-UHFFFAOYSA-N	Q9Y5N1	1
ACRHQCILRCGEKI-UHFFFAOYSA-N	P25099	0
ACRHQCILRCGEKI-UHFFFAOYSA-N	P29274	0
ACRHQCILRCGEKI-UHFFFAOYSA-N	P29275	1
ACRISRQBBKJCTH-UHFFFAOYSA-N	P21731	0
ACRISRQBBKJCTH-UHFFFAOYSA-N	P34995	1
ACRISRQBBKJCTH-UHFFFAOYSA-N	P35408	0
ACRISRQBBKJCTH-UHFFFAOYSA-N	P43088	0
ACRISRQBBKJCTH-UHFFFAOYSA-N	P43115	0
ACRISRQBBKJCTH-UHFFFAOYSA-N	P43116	0
ACRISRQBBKJCTH-UHFFFAOYSA-N	P43119	0
ACRISRQBBKJCTH-UHFFFAOYSA-N	Q13258	0
ACRLBTUVEJSFLC-IBGZPJMESA-N	O43613	0
ACRLBTUVEJSFLC-IBGZPJMESA-N	O43614	1
ACRMRXLXLOKVTF-NMYGXFKOSA-N	P33533	0
ACRMRXLXLOKVTF-NMYGXFKOSA-N	P33535	1
ACRMRXLXLOKVTF-NMYGXFKOSA-N	P41144	0
ACTPUDHTSAXOLZ-ORYMTKCHSA-N	P32245	1
ACTPUDHTSAXOLZ-ORYMTKCHSA-N	P41968	1
ACTPUDHTSAXOLZ-ORYMTKCHSA-N	Q01726	0
ACTVOFFLDWZANE-KHMGXFTDSA-N	P28223	0
ACTVOFFLDWZANE-KHMGXFTDSA-N	P28335	0
ACTVOFFLDWZANE-KHMGXFTDSA-N	P35367	1
ACTVOFFLDWZANE-NSISKUIASA-N	P08913	0
ACTVOFFLDWZANE-NSISKUIASA-N	P14416	1
ACTVOFFLDWZANE-NSISKUIASA-N	P18825	1
ACTVOFFLDWZANE-NSISKUIASA-N	P21728	1
ACTVOFFLDWZANE-NSISKUIASA-N	P28223	1
ACTVOFFLDWZANE-NSISKUIASA-N	P28335	1
ACTVOFFLDWZANE-NSISKUIASA-N	P34969	1
ACTVOFFLDWZANE-NSISKUIASA-N	P35367	1
ACTVOFFLDWZANE-NSISKUIASA-N	P35462	1
ACTVOFFLDWZANE-VDGAXYAQSA-N	P28223	0
ACTVOFFLDWZANE-VDGAXYAQSA-N	P28335	1
ACTVOFFLDWZANE-VDGAXYAQSA-N	P35367	1
ACTVOFFLDWZANE-ZNCRQWOUSA-N	P08913	0
ACTVOFFLDWZANE-ZNCRQWOUSA-N	P14416	1
ACTVOFFLDWZANE-ZNCRQWOUSA-N	P18825	1
ACTVOFFLDWZANE-ZNCRQWOUSA-N	P21728	1
ACTVOFFLDWZANE-ZNCRQWOUSA-N	P28223	1
ACTVOFFLDWZANE-ZNCRQWOUSA-N	P28335	1
ACTVOFFLDWZANE-ZNCRQWOUSA-N	P34969	1
ACTVOFFLDWZANE-ZNCRQWOUSA-N	P35367	1
ACTVOFFLDWZANE-ZNCRQWOUSA-N	P35462	1
ACTXLGWFGGOOKX-XKLVTHTNSA-N	P25099	0
ACTXLGWFGGOOKX-XKLVTHTNSA-N	P30543	1
ACUBKRQETGSILZ-AREMUKBSSA-N	P25100	0
ACUBKRQETGSILZ-AREMUKBSSA-N	P35348	1
ACUBKRQETGSILZ-AREMUKBSSA-N	P35368	1
ACVFFLLCEGYOOX-UHFFFAOYSA-N	P19327	0
ACVFFLLCEGYOOX-UHFFFAOYSA-N	P21728	1
ACWHBXMNFZBKMU-LSCFUAHRSA-N	P0DMS8	1
ACWHBXMNFZBKMU-LSCFUAHRSA-N	P29274	0
ACWHBXMNFZBKMU-LSCFUAHRSA-N	P30542	0
ACWHYMXOCYJYPG-IZVAWUQISA-N	P32239	0
ACWHYMXOCYJYPG-IZVAWUQISA-N	Q63931	1
ACXACDPGDPECRB-QAFNWWFMSA-N	P21554	0
ACXACDPGDPECRB-QAFNWWFMSA-N	P34972	1
ACXCLVVRXJUJEC-RUZDIDTESA-N	P25100	0
ACXCLVVRXJUJEC-RUZDIDTESA-N	P35348	1
ACXCLVVRXJUJEC-RUZDIDTESA-N	P35368	0
ACXCLVVRXJUJEC-VWLOTQADSA-N	P25100	0
ACXCLVVRXJUJEC-VWLOTQADSA-N	P35348	1
ACXCLVVRXJUJEC-VWLOTQADSA-N	P35368	0
ACYOKFLYYBAFPS-UHFFFAOYSA-N	P21554	1
ACYOKFLYYBAFPS-UHFFFAOYSA-N	P34972	0
ACYREHAZQPOKBX-LLVKDONJSA-N	P25024	0
ACYREHAZQPOKBX-LLVKDONJSA-N	P25025	1
ADAWJIUDJGXERN-UHFFFAOYSA-N	P20272	0
ADAWJIUDJGXERN-UHFFFAOYSA-N	P21554	0
ADAWJIUDJGXERN-UHFFFAOYSA-N	P34972	1
ADAWJIUDJGXERN-UHFFFAOYSA-N	Q9QZN9	1
ADAZZWTYEBRRHE-UHFFFAOYSA-N	P14416	0
ADAZZWTYEBRRHE-UHFFFAOYSA-N	P21917	1
ADAZZWTYEBRRHE-UHFFFAOYSA-N	P35462	0
ADAZZWTYEBRRHE-UHFFFAOYSA-N	Q95136	0
ADBOZGRDDFIONY-LPHOPBHVSA-N	O43613	0
ADBOZGRDDFIONY-LPHOPBHVSA-N	O43614	1
ADCGJGKXOPZGPP-YIVQXCEWSA-N	P0DMS8	1
ADCGJGKXOPZGPP-YIVQXCEWSA-N	P29274	0
ADCGJGKXOPZGPP-YIVQXCEWSA-N	P30542	0
ADDAICAYUGEWHC-FMLBVUFZSA-N	P70536	1
ADDAICAYUGEWHC-FMLBVUFZSA-N	Q00788	0
ADDYIVVOISESEV-SANMLTNESA-N	P07550	0
ADDYIVVOISESEV-SANMLTNESA-N	P08588	0
ADDYIVVOISESEV-SANMLTNESA-N	P13945	1
ADEBGCBREGNKQR-UHFFFAOYSA-N	P28221	1
ADEBGCBREGNKQR-UHFFFAOYSA-N	P28222	0
